category,name,status,detail
project_structure,dir:backend,PASS,
project_structure,dir:frontend,PASS,
project_structure,dir:specs,PASS,
project_structure,dir:examples,PASS,
project_structure,dir:tests,PASS,
project_structure,dir:matlab,PASS,
project_structure,dir:reports,PASS,
project_structure,dir:work,PASS,
project_structure,README.md,PASS,
specs,specs count >= 10,PASS,Found 52
backend_tools,tools count >= 30,PASS,Found 115
backend_tools,tool:synthetic_bids.py,PASS,
backend_tools,tool:spm_realign_runner.py,PASS,
backend_tools,tool:confound_matrix.py,PASS,
backend_tools,tool:nuisance_regression.py,PASS,
backend_tools,tool:temporal_filtering.py,PASS,
backend_tools,tool:alff_falff.py,PASS,
backend_tools,tool:reho.py,PASS,
backend_tools,tool:functional_connectivity.py,PASS,
backend_tools,tool:group_dataset_summary.py,PASS,
backend_tools,tool:report_exporter.py,PASS,
backend_tools,tool:report_package_validator.py,PASS,
runtime_registry,node:group_dataset_summary,PASS,
runtime_registry,node:rsfmri_report_exporter,PASS,
runtime_registry,node:rsfmri_report_package_validator,PASS,
pipelines,pipeline YAML count >= 15,PASS,Found 36
api,endpoint:/api/rsfmri/group-summary,PASS,
api,endpoint:/api/rsfmri/report-export,PASS,
api,endpoint:/api/rsfmri/report-validator,PASS,
frontend,file:App.tsx,PASS,
frontend,file:api.ts,PASS,
tests,unit test count >= 10,PASS,Found 24
documentation,README.md > 500 lines,PASS,
safety_boundaries,no DPARSF_run in codebase,PASS,
safety_boundaries,approved=false default,PASS,
report_package,exports dir exists,PASS,
release_artifacts,reports dir exists,PASS,
